Datum,Temperatur,Humidity
2021-03-04 07:40:01,23.0,36.9
2021-03-04 07:41:01,23.1,36.4
2021-03-04 07:42:01,23.2,36.5
2021-03-04 07:43:01,23.3,36.6
2021-03-04 07:44:02,23.3,36.9
2021-03-04 07:45:02,23.4,37.1
2021-03-04 07:46:01,23.4,36.5
2021-03-04 07:47:01,23.5,36.6
2021-03-04 07:48:01,23.5,36.5
2021-03-04 07:49:01,23.5,36.6
2021-03-04 07:50:02,23.6,36.6
2021-03-04 07:51:02,23.6,37.0
2021-03-04 07:52:01,23.6,36.5
2021-03-04 07:53:01,23.6,36.5
2021-03-04 07:54:01,23.7,36.5
2021-03-04 07:55:01,23.7,36.5
2021-03-04 07:56:01,23.7,36.7
2021-03-04 07:57:02,23.8,36.6
2021-03-04 07:58:02,23.8,36.6
2021-03-04 07:59:01,23.8,36.5
2021-03-04 08:00:01,23.9,36.6
2021-03-04 08:01:01,23.9,36.5
2021-03-04 08:02:01,24.0,36.5
2021-03-04 08:03:02,24.0,36.6
2021-03-04 08:04:02,24.0,36.5
2021-03-04 08:05:01,24.1,36.6
2021-03-04 08:06:01,24.1,36.5
2021-03-04 08:07:01,24.1,36.5
2021-03-04 08:08:01,24.1,36.5
2021-03-04 08:09:02,24.1,36.8
2021-03-04 08:10:02,24.2,37.0
2021-03-04 08:11:01,24.2,36.4
2021-03-04 08:12:01,24.2,36.4
2021-03-04 08:13:01,24.2,36.4
2021-03-04 08:14:01,24.2,36.5
2021-03-04 08:15:01,24.3,36.5
2021-03-04 08:16:02,24.3,36.5
2021-03-04 08:17:02,24.3,36.4
2021-03-04 08:18:01,24.3,36.4
2021-03-04 08:19:01,24.3,36.4
2021-03-04 08:20:01,24.3,36.7
2021-03-04 08:21:01,24.4,36.5
2021-03-04 08:22:02,24.4,36.5
2021-03-04 08:23:02,24.4,36.4
2021-03-04 08:24:01,24.4,36.9
2021-03-04 08:25:01,24.4,36.3
2021-03-04 08:26:01,24.4,36.3
2021-03-04 08:27:01,24.4,36.4
2021-03-04 08:28:02,24.5,36.4
2021-03-04 08:29:02,24.5,36.4
2021-03-04 08:30:01,24.6,36.4
2021-03-04 08:31:01,24.6,36.4
2021-03-04 08:32:01,24.6,36.4
2021-03-04 08:33:01,24.6,38.4
2021-03-04 08:34:02,24.7,36.3
2021-03-04 08:35:05,24.8,36.6
2021-03-04 08:36:01,24.7,36.4
2021-03-04 08:37:01,24.8,36.1
2021-03-04 08:38:01,24.9,36.2
2021-03-04 08:39:01,24.9,36.3
2021-03-04 08:40:02,25.0,36.1
2021-03-04 08:41:02,25.0,37.6
2021-03-04 08:42:01,25.1,36.0
2021-03-04 08:43:01,25.2,36.3
2021-03-04 08:44:01,25.3,35.6
